frame     start count    union count    avg       max union      end count      CountR    MinR      MaxR      CountL    MinL      MaxL      CountC    MinC      MaxC      
622       125            26             4.81      3              99             30        20.25     78.39     40        20.0      117.48    29        20.02     422.0     
623       157            40             3.92      3              117            37        20.25     80.62     52        20.62     180.25    28        21.0      194.0     
624       177            54             3.28      3              123            41        22.63     116.61    56        20.62     111.51    26        21.02     144.0     
625       148            34             4.35      2              114            34        21.21     103.0     46        20.0      143.39    34        21.38     497.0     
626       193            60             3.22      4              133            47        20.0      146.82    59        20.25     146.99    27        20.0      136.0     
627       186            55             3.38      2              131            46        20.0      146.01    48        20.0      98.62     37        20.02     369.0     
628       179            36             4.97      2              143            57        20.25     79.76     52        21.1      219.18    34        20.0      133.0     
629       198            59             3.36      2              139            49        20.25     133.81    51        20.0      175.64    39        21.02     145.0     
630       182            52             3.5       2              130            53        20.25     86.68     44        20.0      190.9     33        20.0      86.0      
631       166            40             4.15      2              126            49        20.0      122.8     41        20.0      177.0     36        20.0      79.0      
632       195            57             3.42      3              138            54        20.25     97.45     46        20.0      68.01     38        21.0      124.0     
633       185            49             3.78      2              136            52        21.26     106.61    45        20.0      189.53    39        23.02     124.0     
634       191            53             3.6       4              138            50        20.25     103.81    54        20.59     71.84     34        20.02     124.0     
635       165            41             4.02      3              124            50        20.52     138.81    40        20.0      65.07     34        20.0      124.0     
636       184            48             3.83      2              136            49        20.25     119.75    50        20.62     183.7     37        21.0      145.0     
637       185            53             3.49      3              132            54        21.26     168.4     45        20.12     163.98    33        20.0      122.0     
638       193            56             3.45      3              137            53        20.0      104.48    52        21.1      159.51    32        22.02     153.0     
639       193            46             4.2       2              147            66        21.1      101.67    50        20.25     73.82     31        22.0      152.0     
640       167            39             4.28      2              128            51        20.0      116.5     42        20.0      131.73    35        25.0      94.05     
641       174            48             3.62      2              126            54        20.25     113.07    40        20.0      75.8      32        21.0      105.0     
642       202            56             3.61      4              146            71        20.81     148.4     42        20.0      101.82    33        20.02     107.0     
643       187            49             3.82      3              138            50        20.25     124.84    47        20.25     104.65    41        22.02     139.0     
644       211            70             3.01      4              141            53        20.25     116.5     50        20.0      108.89    38        20.0      133.0     
645       188            55             3.42      2              133            55        20.0      190.0     42        21.21     88.24     36        21.0      103.0     
646       192            50             3.84      2              142            64        20.25     159.77    44        20.25     83.24     34        20.0      104.0     
647       177            49             3.61      2              128            55        20.25     180.01    36        20.81     132.94    37        20.0      119.0     
648       185            43             4.3       2              142            64        20.25     167.11    44        20.0      138.59    34        20.0      150.0     
649       191            54             3.54      3              137            64        20.52     198.04    36        21.21     122.41    37        20.02     116.0     
650       211            63             3.35      2              148            72        20.25     197.2     39        20.0      154.16    37        23.0      116.16    
